Country,Life expectancy,Life satisfaction,GDP per capita,Population,Continent
Mongolia,70.056,5.760700226,11723.87305,3278292,Asia
Montenegro,77.014,5.546800137,18258.94922,628062,Europe
Morocco,76.901,5.059899807,6986.283691,36910558,Africa
Mozambique,61.387,5.048299789,1229.940308,31255435,Africa
Myanmar,67.363,4.394199848,4857.389648,54409794,Asia
Namibia,64.045,4.459400177,8814.591797,2540916,Africa
Nauru,0,0,13594.49219,10834,Oceania
Nepal,71.067,5.37650013,3800.065674,29136808,Asia
Netherlands,82.424,7.414899826,54324.38281,17134873,Europe
New Zealand,82.434,7.199800014,42774.69141,4822233,Oceania
Nicaragua,74.697,6.164599895,5280.099609,6624554,North America
Niger,62.792,5.003499985,1221.269897,24206636,Africa
Nigeria,55.018,4.552000046,4916.721191,206139587,Africa
North Korea,72.453,0,0,25778815,Asia
North Macedonia,75.918,5.198999882,15931.3623,2083380,Europe
Norway,82.546,7.365099907,63548,5421242,Europe
Oman,78.078,0,29502.06055,5106622,Asia
Pakistan,67.428,4.515799999,4562.622559,220892331,Asia
Palau,0,0,15473.25195,18092,Oceania
Palestine,74.213,4.482500076,5394.071777,5101416,Asia
Panama,78.68,6.309100151,25389.8125,4314768,North America
Papua New Guinea,64.725,0,4063.732178,8947027,Oceania
Paraguay,74.363,5.578299999,12389.58691,7132530,South America
Peru,76.947,5.559100151,11260.8457,32971845,South America
Philippines,71.36,5.903600216,7953.581543,109581085,Asia
Poland,78.901,6.122799873,32398.70508,37846605,Europe
Portugal,82.233,6.016300201,31961.77539,10196707,Europe
Qatar,80.363,0,85290.45313,2881060,Asia
Romania,76.183,6.477000237,28870.92969,19237682,Europe
Russia,72.742,5.458600044,26456.38867,145934460,Europe
Rwanda,69.329,3.268199921,2098.710449,12952209,Africa
Saint Kitts and Nevis,0,0,24319.36328,53192,North America
Saint Lucia,76.343,0,12048.92773,183629,North America
Saint Vincent and the Grenadines,72.658,0,12044.36523,110947,North America
Samoa,73.45,0,6416.77832,198410,Oceania
San Marino,0,0,0,33938,Europe
Sao Tome and Principe,70.583,0,4051.604736,219161,Africa
Saudi Arabia,75.28,6.522799969,44328.18359,34813867,Asia
Senegal,68.213,5.04610014,3320.675537,16743930,Africa
Serbia,76.144,6.177999973,18255.05469,8737370,Europe
Seychelles,73.483,0,24427.71289,98340,Africa
Sierra Leone,55.066,3.573999882,1637.296631,7976985,Africa
Singapore,83.767,6.480199814,93397.04688,5850343,Asia
Slovakia,77.685,6.390699863,30509.76953,5459643,Europe
Slovenia,81.475,6.630099773,37050.54688,2078931,Europe
Solomon Islands,73.132,0,2482.871826,686878,Oceania
Somalia,57.697,0,1180.965942,15893219,Africa
South Africa,64.379,5.193900108,12665.83203,59308690,Africa
South Korea,83.193,5.935100079,42335.86719,51269183,Asia
South Sudan,58.095,0,0,11193729,Africa
Spain,83.693,6.476299763,36210.875,46754783,Europe
Sri Lanka,77.144,4.362199783,12536.94141,21413250,Asia
Sudan,65.53,0,3927.043945,43849269,Africa
Suriname,71.802,0,15864.55078,586634,South America
Sweden,82.946,7.384300232,50923.10938,10099270,Europe
Switzerland,83.921,7.511600018,68755.4375,8654618,Europe
Syria,73.651,0,0,17500657,Asia
Taiwan,80.626,6.512499809,0,23816775,Asia
Tajikistan,71.301,5.377099991,3657.573486,9537642,Asia
Tanzania,65.815,3.702399969,2635.356689,59734213,Africa
Thailand,77.344,5.891200066,17284.70117,69799978,Asia
Timor-Leste,69.712,0,3925.948242,1318442,Asia
Togo,61.34,4.112299919,2107.877686,8278736,Africa
Tonga,71.018,0,6346.999512,105697,Oceania
Trinidad and Tobago,73.628,0,23722.47852,1399491,North America
Tunisia,76.891,4.515999794,10260.06543,11818618,Africa
Turkey,77.928,4.74420023,28393.4668,84339067,Asia
Turkmenistan,68.313,5.474299908,0,6031187,Asia
Tuvalu,0,0,4411.00293,11792,Oceania
Uganda,63.713,4.602600098,2175.031006,45741000,Africa
Ukraine,72.184,5.08409977,12375.92188,43733759,Europe
United Arab Emirates,78.12,6.576000214,63299.42188,9890400,Asia
United Kingdom,81.426,6.942500114,42675.78125,67886004,Europe
United States of America,78.9,6.976799965,59919.82031,331002647,North America
Uruguay,78.056,6.473599911,21608.42969,3473727,South America
Uzbekistan,71.848,6.062699795,7331.859863,33469199,Asia
Vanuatu,70.623,0,2854.29248,307150,Oceania
Venezuela,72.066,4.925499916,0,28435943,South America
Vietnam,75.493,5.485000134,8200.332031,97338583,Asia
Yemen,66.181,4.196899891,0,29825968,Asia
Zambia,64.194,3.759799957,3277.816406,18383956,Africa
Zimbabwe,61.738,2.995100021,3353.411377,14862927,Africa
