Country,Life satisfaction,GDP per capita,Population
North Korea,0,2000,25778815
North Macedonia,5.198999882,15931.3623,2083380
Norway,7.365099907,63548,5421242
Oman,0,29502.06055,5106622
Pakistan,4.515799999,4562.622559,220892331
Palau,0,15473.25195,18092
Palestine,4.482500076,5394.071777,5101416
Panama,6.309100151,25389.8125,4314768
Papua New Guinea,0,4063.732178,8947027
Paraguay,5.578299999,12389.58691,7132530
Peru,5.559100151,11260.8457,32971845
Philippines,5.903600216,7953.581543,109581085
Poland,6.122799873,32398.70508,37846605
Portugal,6.016300201,31961.77539,10196707
Qatar,0,85290.45313,2881060
Romania,6.477000237,28870.92969,19237682
Russia,5.458600044,26456.38867,145934460
Rwanda,3.268199921,2098.710449,12952209
Saint Kitts and Nevis,0,24319.36328,53192
Saint Lucia,0,12048.92773,183629
Saint Vincent and the Grenadines,0,12044.36523,110947
Samoa,0,6416.77832,198410
San Marino,0,59000,33938
Sao Tome and Principe,0,4051.604736,219161
Saudi Arabia,6.522799969,44328.18359,34813867
Senegal,5.04610014,3320.675537,16743930
Serbia,6.177999973,18255.05469,8737370
Seychelles,0,24427.71289,98340
Sierra Leone,3.573999882,1637.296631,7976985
Singapore,6.480199814,93397.04688,5850343
Slovakia,6.390699863,30509.76953,5459643
Slovenia,6.630099773,37050.54688,2078931
Solomon Islands,0,2482.871826,686878
Somalia,0,1180.965942,15893219
South Africa,5.193900108,12665.83203,59308690
South Korea,5.935100079,42335.86719,51269183
S. Sudan,0,1600,11193729
Spain,6.476299763,36210.875,46754783
Sri Lanka,4.362199783,12536.94141,21413250
Sudan,0,3927.043945,43849269
Suriname,0,15864.55078,586634
Sweden,7.384300232,50923.10938,10099270
Switzerland,7.511600018,68755.4375,8654618
Syria,0,2900,17500657
Taiwan,6.512499809,50500,23816775
Tajikistan,5.377099991,3657.573486,9537642
Tanzania,3.702399969,2635.356689,59734213
Thailand,5.891200066,17284.70117,69799978
Timor-Leste,0,3925.948242,1318442
Togo,4.112299919,2107.877686,8278736
Tonga,0,6346.999512,105697
Trinidad and Tobago,0,23722.47852,1399491
Tunisia,4.515999794,10260.06543,11818618
Turkey,4.74420023,28393.4668,84339067
Turkmenistan,5.474299908,18200,6031187
Tuvalu,0,4411.00293,11792
Uganda,4.602600098,2175.031006,45741000
Ukraine,5.08409977,12375.92188,43733759
United Arab Emirates,6.576000214,63299.42188,9890400
United Kingdom,6.942500114,42675.78125,67886004
United States of America,6.976799965,59919.82031,331002647
Uruguay,6.473599911,21608.42969,3473727
Uzbekistan,6.062699795,7331.859863,33469199
Vanuatu,0,2854.29248,307150
Venezuela,4.925499916,12500,28435943
Vietnam,5.485000134,8200.332031,97338583
Yemen,4.196899891,2500,29825968
Zambia,3.759799957,3277.816406,18383956
Zimbabwe,2.995100021,3353.411377,14862927
